,Count.DQI.1,Count.DQI.2,Wind.DQI.1,Wind.DQI.2,Turb.WS.Int.DQI.1,WS.DQI.1,WS.DQI.2,Bin.DQI.1,Bin.DQI.2,CH4.High.DQI.1,CH4.High.DQI.2,CH4.High.DQI.3,CH4.High.DQI.4,CH4.Low.DQI.1,CH4.Low.DQI.2,CH4.Low.DQI.3,CH4.Low.DQI.4,Sig.y.DQI,Dist.DQI,GPS.DQI,CO2.Level.DQI,CO2.Variance.DQI,Temp.Comp.DQI
1,0,0,0,0,0,0,0,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,1
2,0,3,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,5,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
14,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
15,0,3,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
16,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,1,1
18,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,1,0,0,1
19,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
