ID,release_rate,PSG,a_ppm,Ubar,PGI,NonGauss
4042011_01,0.6,0.454991968,1.238715555,3.411921415,4,0
4042011_03,0.6,0.554467001,0.951715412,2.646980567,4,0
4042011_05,0.6,0.736251472,2.267387381,2.676348113,3,1
4042011_06,0.6,0.381444085,0.202739112,3.550680466,4,0
4042011_07,0.6,0.382477743,0.569742346,3.3645396,4,0
5050611_01,0.6,0.690257073,0.313885929,3.356634208,3,0
5050611_02,0.6,0.65878932,0.432937591,3.325083657,4,0
5050611_03,0.6,0.378560171,0.211317659,3.206039872,4,0
5050611_04,0.6,0.815737515,0.360165884,4.05167498,4,0
5050611_05,0.6,0.643546284,0.273511839,3.840670426,4,0
5050611_06,0.6,0.300358422,0.174716742,4.334128945,5,0
5050611_07,0.6,0.375356916,0.228742392,2.680701558,4,0
5050611_08,0.6,0.627195601,0.703777906,2.226737599,4,0
5050611_09,0.6,0.798154137,1.034481218,2.635383832,3,1
5050611_10,0.6,0.613877976,0.85833522,1.765372297,2,0
6061411_01,0.6,0.571180517,0.901902161,3.097046617,5,0
6061411_03,0.6,0.347988686,0.275517072,4.350100062,5,0
6061411_04,0.6,0.539288331,1.063969058,5.523055417,6,0
6061411_05,0.6,0.506615442,1.313655256,6.43731151,5,0
6061411_06,0.6,0.605613964,0.479218616,7.179321178,6,0
